OBJECTID,ComplaintDate,ClosureDate,ReceivedBy,ComplaintsNum,AllegationsMadeNum,AllegationsMade,AllegationsSustained,NumOfficersSustained,AllegationsUnfounded,AllegationsUnsubstantiated,NumOfficersDA,DisciplinaryAction,NonDisciplinaryAction
1,2021/02/01 00:00:00+00,Open,CRB,1,1,Fail to Act,,,,,,,
2,2021/02/25 00:00:00+00,Open,CRB,1,Numerous,Unlawful Search,,,,,,,
3,2021/02/18 00:00:00+00,4/5/2021,SPD,1,1,Other    ,No,0,1,0,0,None,None
4,2021/03/02 00:00:00+00,10/12/2021,CRB,1,1,Harassment,No,0,0,1,0,None,None
5,2021/03/02 00:00:00+00,6/14/2022,CRB,1,1,Demeanor,1,1,0,0,1,Written Reprimand,None
6,2021/03/08 00:00:00+00,10/11/2021,SPD,1,1,Harassment,1,1,0,0,1,Suspended 5 days,None
7,2021/02/25 00:00:00+00,7/13/2021,SPD,1,3,Demeanor,0,0,0,1,1,None,Verbal Counseling
8,2021/03/17 00:00:00+00,Open,CRB,1,4,Excessive Force,,,,,,,
9,2021/04/07 00:00:00+00,6/28/2021,SPD,1,1,Excessive Force,0,0,0,1,0,None,None
10,2021/04/20 00:00:00+00,Open,CRB,1,3,Other    ,,,,,,,
11,2021/04/28 00:00:00+00,Open,CRB,1,1,Demenar,,,,,,,
12,2021/04/28 00:00:00+00,4/6/2022,CRB,1,2,False Arrest,0,0,1,0,0,None,None
13,2021/05/13 00:00:00+00,Open,CRB,1,2,Excessive Force,,,,,,,
14,2021/05/13 00:00:00+00,12/1/2021,CRB,1,3,Fail to Act,0,0,0,1,1,None,Verbal Counseling
15,2021/05/20 00:00:00+00,Open,CRB,1,1,Other    ,,,,,,,
16,2021/05/21 00:00:00+00,10/21/2021,SPD,1,1,Viol. Rules & Reg,1,0,1,0,0,None,None
17,2021/05/26 00:00:00+00,Open,CRB,1,1,Fail to Act,,,,,,,
18,2021/07/07 00:00:00+00,9/16/2021,SPD,1,1,Fail to Act,0,1,0,1,0,None,None
19,2021/07/09 00:00:00+00,Open,CRB,1,3,Fail to Act,,,,,,,
20,2021/06/16 00:00:00+00,10/28/2021,CRB,1,1,Fail To Act,1,1,0,0,1,None (expired),none
21,2021/06/04 00:00:00+00,8/2/2021,SPD,1,1,False Arrest,0,0,0,1,0,None,None
22,2021/06/25 00:00:00+00,8/18/2021,SPD,1,2,Fail to Act,0,0,0,1,0,None,None
23,2021/07/12 00:00:00+00,8/3/2021,SPD,1,1,Viol. Rules & Reg,0,0,0,1,0,None,None
24,2021/07/15 00:00:00+00,11/24/2021,SPD,1,1,Harassment,1,2,0,0,2,Suspension 5 days,Written Reprimand
25,2021/07/20 00:00:00+00,9/13/2021,CRB,1,1,Other    ,0,0,0,1,0,None,None
26,2021/07/21 00:00:00+00,Open,CRB,1,1,Demeanor,,,,,,,
27,2021/07/27 00:00:00+00,8/9/2021,SPD,1,1,Excessive Force,1,1,0,1,0,None,None
28,2021/07/26 00:00:00+00,9/16/2021,SPD,1,2,Other    ,0,0,1,0,0,None,None
29,2021/08/05 00:00:00+00,12/10/2021,SPD,1,2,Excessive Force,0,0,0,1,0,None,None
30,2021/08/05 00:00:00+00,5/15/2022,SPD,1,2,Excessive Force,0,0,1,0,0,None,None
31,2021/08/17 00:00:00+00,5/16/2022,SPD,1,1,False Arrest,0,0,0,1,0,None,None
32,2021/09/02 00:00:00+00,10/13/2021,CRB,1,5,Unlawful Search,0,5,1,0,0,None,None
33,2021/07/28 00:00:00+00,1/3/2022,SPD,1,1,Failure to Act,0,0,1,0,0,None,None
34,2021/09/08 00:00:00+00,10/21/2021,CRB,1,1,Other    ,0,0,1,0,0,None,None
35,2021/10/21 00:00:00+00,Open,CRB,1,2,Viol. Rules & Reg,,,,,,,
36,2021/10/26 00:00:00+00,12/2/2021,SPD,1,1,Fail to Act,0,0,0,0,0,None,None
