Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
52220686,"Stamped: Racism, Antiracism, and You",Jason Reynolds,"Reynolds, Jason",Ibram X. Kendi,"=""0316453692""","=""9780316453691""",0,4.49,"Little, Brown Books for Young Readers",Hardcover,294,2020,2020,,2023/03/15,to-read,to-read (#938),to-read,,,,0,0
60194141,The Escape Artist: The Man Who Broke Out of Auschwitz to Warn the World,Jonathan Freedland,"Freedland, Jonathan",,"=""0063112337""","=""9780063112339""",5,4.48,Harper,Hardcover,400,2022,2022,,2023/01/01,"audible, audiobook, nonfiction","audible (#42), audiobook (#217), nonfiction (#88)",read,,,,1,0
61193075,"A Half-Baked Murder (Cannabis Café Mysteries, #1)",Emily  George,"George, Emily",,"=""1496740483""","=""9781496740489""",0,3.93,Kensington,Paperback,304,2023,,,2023/02/25,to-read,to-read (#937),to-read,,,,0,0
60023171,Barkley: A Biography,Timothy Bella,"Bella, Timothy",,"=""1335484973""","=""9781335484970""",0,4.07,Hanover Square Press,Hardcover,576,2022,2022,,2023/02/25,to-read,to-read (#936),to-read,,,,0,0
60784741,"We Were Once a Family: A Story of Love, Death, and Child Removal in America",Roxanna Asgarian,"Asgarian, Roxanna",,"=""0374602298""","=""9780374602291""",0,4.45,"Farrar, Straus and Giroux",Hardcover,320,2023,2023,,2023/02/12,to-read,to-read (#935),to-read,,,,0,0
39863447,"Loonshots: How to Nurture the Crazy Ideas That Win Wars, Cure Diseases, and Transform Industries",Safi Bahcall,"Bahcall, Safi",,"=""1250185963""","=""9781250185969""",0,4.02,St. Martin's Press,Hardcover,368,2019,2019,,2023/02/07,to-read,to-read (#934),to-read,,,,0,0
61272660,The Candy House,Jennifer Egan,"Egan, Jennifer",,"=""1476716773""","=""9781476716770""",0,3.70,Scribner,Paperback,368,2023,2022,,2023/02/02,to-read,to-read (#933),to-read,,,,0,0
57007423,Woke Up This Morning: The Definitive Oral History of The Sopranos,Michael Imperioli,"Imperioli, Michael",Steve Schirripa,"=""0063090023""","=""9780063090026""",5,4.25,William Morrow,Hardcover,509,2021,2021,,2021/10/12,audiobook,audiobook (#216),read,,,,1,0
59366216,The Man Who Broke Capitalism: How Jack Welch Gutted the Heartland and Crushed the Soul of Corporate America—and How to Undo His Legacy,David Gelles,"Gelles, David",,"=""198217644X""","=""9781982176440""",4,4.02,Simon  Schuster,Hardcover,272,2022,,,2022/06/05,"audiobook, business, library, nonfiction","audiobook (#215), business (#8), library (#189), nonfiction (#87)",read,,,,1,0
64405809,"The Big Con: How the Consulting Industry Weakens our Businesses, Infantilizes our Governments and Warps our Economies",Mariana Mazzucato,"Mazzucato, Mariana",Rosie Collington,"=""0593492676""","=""9780593492673""",0,3.82,Penguin Press,Hardcover,352,2023,2023,,2023/01/29,to-read,to-read (#932),to-read,,,,0,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",0,4.38,Avery,Kindle Edition,319,2018,2018,,2023/01/29,to-read,to-read (#931),to-read,,,,0,0
